,ridge,rfr,lgbm,xgb,cat
ridge,1.0,0.0029386781221729663,0.8554745643109433,0.6276588981064817,0.022659414002195732
rfr,0.0029386781221729663,1.0,0.07032412785494335,0.17959696466629393,0.9751233422787462
lgbm,0.8554745643109433,0.07032412785494335,1.0,0.9946149695873463,0.26588858481765243
xgb,0.6276588981064817,0.17959696466629393,0.9946149695873463,1.0,0.49732480971524595
cat,0.022659414002195732,0.9751233422787462,0.26588858481765243,0.49732480971524595,1.0
