,Mean,Std,Min,Max
rfr,1.9718951728228107,0.29035475027821733,1.4905288703540138,2.28320700694452
cat,2.1190742181124724,0.44840296838055305,1.5505546313025795,2.778086640023131
xgb,2.204836713674351,0.42834588410452795,1.6162198316136627,2.8092491243962683
lgbm,2.2258981381752676,0.43292352157041364,1.618081543825716,2.8650082164642643
ridge,2.9965365057481046,1.097311879728075,2.0781332807699084,5.109708314360211
