Model,Mean_RMSE,CI_Lower,CI_Upper
ridge,2.9965365057481046,2.2532542664582302,4.066783054388404
rfr,1.9718951728228107,1.7248021173708097,2.2065029690699216
lgbm,2.2258981381752676,1.87883994908237,2.6156228819365546
xgb,2.204836713674351,1.8388489097867429,2.57082451756196
cat,2.1190742181124724,1.7402290162201879,2.527097462331677
